,Submission ID,What is your age?,Gender,Where do you typically drink coffee?
1493,24xGVD,35-44 years old,Female, At home
1494,VZ1O46,25-34 years old,Male, At home
1495,VZ1O46,25-34 years old,Male, At the office
1496,VZ1O46,25-34 years old,Male, At a cafe
1497,PABJee,25-34 years old,Male, At home
1498,PABJee,25-34 years old,Male, At a cafe
1499,eBxWYQ,35-44 years old,Female, At home
1500,eBxWYQ,35-44 years old,Female, At the office
1501,qbE1NO,45-54 years old,Male, At home
1502,oAVLaP,35-44 years old,Male, At home
1503,LdMLgl,25-34 years old,Male, At home
1504,LdMLgl,25-34 years old,Male, At the office
1505,LdMLgl,25-34 years old,Male, At a cafe
1506,ylq5zd,25-34 years old,Male, At home
1507,ylq5zd,25-34 years old,Male, At a cafe
1508,NAB1EO,25-34 years old,Male, At home
1509,7d9rj0,25-34 years old,Female, At home
1510,7d9rj0,25-34 years old,Female, At a cafe
1511,ZdRrKB,35-44 years old,Male, At home
1512,xdN56d,25-34 years old,Male, At home
1513,rlrMg2,35-44 years old,Male, At home
1514,qbE1pg,35-44 years old,Female, At home
1515,pLPpXJ,25-34 years old,Male, At home
1516,pLPpXJ,25-34 years old,Male, At a cafe
1517,xdN5vk,25-34 years old,Male, At home
1518,xdN5vk,25-34 years old,Male, On the go
1519,vNx5a0,25-34 years old,Non-binary, At home
1520,vNx5a0,25-34 years old,Non-binary, At the office
1521,vNx5a0,25-34 years old,Non-binary, At a cafe
1522,LdML6J,35-44 years old,Male, At home
1523,6dQEyJ,35-44 years old,Female, At home
1524,6dQEyJ,35-44 years old,Female, At a cafe
1525,xdN5L5,25-34 years old,Male, At home
1526,OABMra,25-34 years old,Male, At home
1527,jB9AgQ,18-24 years old,Non-binary, At home
1528,EPb7AB,25-34 years old,Female, At home
1529,EPb7AB,25-34 years old,Female, At the office
1530,EPb7AB,25-34 years old,Female, On the go
1531,EPb7AB,25-34 years old,Female, At a cafe
1532,GrBAQO,35-44 years old,Male, At home
1533,lNlk9v,25-34 years old,Male, At home
1534,eBxWox,35-44 years old,Female, At home
1535,VZ1OyM,18-24 years old,Male, At the office
1536,KMBKNV,25-34 years old,Male, At home
1537,OABMyY,55-64 years old,Male, At home
1538,WApVjR,18-24 years old,Male, At home
1539,OABMKR,25-34 years old,Male, At home
1540,OABMKR,25-34 years old,Male, At the office
1541,XeBPyL,25-34 years old,Male, At home
1542,XeBPyL,25-34 years old,Male, At the office
1543,XeBPyL,25-34 years old,Male, On the go
1544,VZ1OBg,25-34 years old,Male, At home
1545,1r2ox1,25-34 years old,Female, At home
1546,1r2ox1,25-34 years old,Female, On the go
1547,LdMLVl,25-34 years old,Female, At home
1548,LdMLVl,25-34 years old,Female, At a cafe
1549,oAVLQO,25-34 years old,Male, At home
1550,pLPpNJ,18-24 years old,Male, None of these
1551,eBxWPk,25-34 years old,Male, At home
1552,eBxWPk,25-34 years old,Male, At the office
1553,VZ1Oxj,18-24 years old,Male, At home
1554,zKQ54R,25-34 years old,Male, At home
1555,zKQ54R,25-34 years old,Male, At the office
1556,Albeyl,35-44 years old,Male, At home
1557,Albeyl,35-44 years old,Male, At the office
1558,eBxWyl,25-34 years old,Male, At home
1559,rlrM1R,35-44 years old,Male, At home
1560,24xGZD,18-24 years old,Male, At home
1561,24xGZD,18-24 years old,Male, At a cafe
1562,VZ1Oyy,25-34 years old,Male, At home
1563,VZ1Oyy,25-34 years old,Male, At a cafe
1564,XeBPdg,35-44 years old,Male, At home
1565,XeBPdg,35-44 years old,Male, At the office
1566,rlrMRN,45-54 years old,Male, At home
1567,6dQEGk,45-54 years old,Male, At home
1568,EPb7YB,25-34 years old,Female, At home
1569,7d9rEa,55-64 years old,Female, At home
1570,ylq5Rx,25-34 years old,Male, At home
1571,ylq5Rx,25-34 years old,Male, At the office
1572,ylq5Rx,25-34 years old,Male, On the go
1573,MAdpgk,55-64 years old,Male, At home
1574,g5N6vJ,35-44 years old,Male, At home
1575,g5N6vJ,35-44 years old,Male, At a cafe
1576,0EjRlB,35-44 years old,Male, At home
1577,0EjRlB,35-44 years old,Male, At the office
1578,9dJjPQ,25-34 years old,Male, At home
1579,9dJjPQ,25-34 years old,Male, At the office
1580,9dJjPQ,25-34 years old,Male, At a cafe
1581,AlbeND,18-24 years old,Male, At home
1582,OABMkM,25-34 years old,Female, At home
1583,zKQ5dk,55-64 years old,Female, At home
1584,7d9rgR,35-44 years old,Male, At home
1585,7d9rgR,35-44 years old,Male, At the office
1586,vNx5pl,18-24 years old,Male, At home
1587,vNx5pl,18-24 years old,Male, At a cafe
1588,EPb7e4,18-24 years old,Male, At home
1589,EPb7e4,18-24 years old,Male, At a cafe
1590,DVv6PZ,25-34 years old,Male, At home
1591,DVv6PZ,25-34 years old,Male, At a cafe
1592,MAdpPk,18-24 years old,Male, At home
1593,MAdpPk,18-24 years old,Male, At the office
1594,ylq5rg,18-24 years old,Male, At home
1595,ylq5rg,18-24 years old,Male, At the office
1596,24xG7M,25-34 years old,Female, At home
1597,24xG7M,25-34 years old,Female, On the go
1598,bl4Qz6,25-34 years old,Non-binary, At home
1599,6dQE9Y,35-44 years old,Male, At home
1600,6dQE9Y,35-44 years old,Male, At the office
1601,6dQE9Y,35-44 years old,Male, On the go
1602,eBxWvQ,35-44 years old,Male, At home
1603,eBxWvQ,35-44 years old,Male, On the go
1604,ZdRrXo,25-34 years old,Male, At home
1605,24xGy9,35-44 years old,Female, At home
1606,24xGy9,35-44 years old,Female, On the go
1607,xdN57r,35-44 years old,Male, At home
1608,xdN57r,35-44 years old,Male, At the office
1609,lNlkXk,35-44 years old,Male, At home
1610,9dJjyV,35-44 years old,Male, At home
1611,9dJjyV,35-44 years old,Male, At the office
1612,RzBy19,25-34 years old,Male, At home
1613,J2kvgK,25-34 years old,Male, At home
1614,J2kvbo,25-34 years old,Male, At home
1615,J2kvbo,25-34 years old,Male, At the office
1616,DVv6ZE,25-34 years old,Non-binary, At home
1617,DVv6ZE,25-34 years old,Non-binary, At the office
1618,DVv6ZE,25-34 years old,Non-binary, On the go
1619,DVv6ZE,25-34 years old,Non-binary, At a cafe
1620,XeBPvY,25-34 years old,Female, At home
1621,ZdRrAo,25-34 years old,Male, At home
1622,ZdRrAo,25-34 years old,Male, At the office
1623,NAB1O0,25-34 years old,Male, At home
1624,J2kvBr,25-34 years old,Male, At home
1625,J2kvBr,25-34 years old,Male, At a cafe
1626,ylq5px,25-34 years old,Female, At home
1627,KMBKRg,18-24 years old,Male, At home
1628,OABMyg,25-34 years old,Other (please specify), At home
1629,oAVLax,35-44 years old,Male, At home
1630,oAVLax,35-44 years old,Male, At the office
1631,VZ1OXg,25-34 years old,Female, At home
1632,VZ1OXg,25-34 years old,Female, At the office
1633,WApVdv,25-34 years old,Male, At home
1634,WApVdv,25-34 years old,Male, At the office
1635,aBrqXB,25-34 years old,Female, At home
1636,EPb7rr,18-24 years old,Female, At home
1637,EPb7rr,18-24 years old,Female, On the go
1638,NAB1gO,25-34 years old,Male, At home
1639,XeBPkY,18-24 years old,Male, At home
1640,XeBPkY,18-24 years old,Male, At the office
1641,XeBPkY,18-24 years old,Male, On the go
1642,LdMLOy,35-44 years old,Female, At home
1643,aBrqa2,25-34 years old,Male, At home
1644,WApVXN,18-24 years old,Male, At home
1645,OABMeg,35-44 years old,Male, At home
1646,OABMeg,35-44 years old,Male, At the office
1647,OABMeg,35-44 years old,Male, On the go
1648,NAB1xl,35-44 years old,Male, At home
1649,NAB1xl,35-44 years old,Male, At the office
1650,dY2ekV,55-64 years old,Female, At home
1651,LdMLBv,25-34 years old,Female, At home
1652,LdMLBv,25-34 years old,Female, On the go
1653,LdMLBv,25-34 years old,Female, At a cafe
1654,Albe0e,25-34 years old,Female, At home
1655,Albe0e,25-34 years old,Female, At a cafe
1656,eBxW8e,35-44 years old,Male, At home
1657,8dp4V5,35-44 years old,Male, At home
1658,8dp4V5,35-44 years old,Male, At the office
1659,1r2ozp,18-24 years old,Male, At home
1660,1r2ozp,18-24 years old,Male, At the office
1661,1r2ozp,18-24 years old,Male, At a cafe
1662,DVv6al,35-44 years old,Male, At home
1663,QABl4Y,18-24 years old,Female, At home
1664,QABl4Y,18-24 years old,Female, At a cafe
1665,DVv6EZ,45-54 years old,Female, At home
1666,J2kvxR,25-34 years old,Male, At home
1667,J2kvxR,25-34 years old,Male, At the office
1668,eBxWGe,18-24 years old,Male, At home
1669,KMBKA8,35-44 years old,Male, At home
1670,KMBKA8,35-44 years old,Male, At the office
1671,DVv6Wl,25-34 years old,Male, At home
1672,DVv6Wl,25-34 years old,Male, On the go
1673,DVv6Wl,25-34 years old,Male, At a cafe
1674,QABlyG,25-34 years old,Male, At home
1675,pLPp58,35-44 years old,Male, At home
1676,pLPp58,35-44 years old,Male, At a cafe
1677,VZ1Oqj,25-34 years old,Female, At home
1678,XeBPNP,35-44 years old,Female, At home
1679,jB9Aq4,25-34 years old,Male, At home
1680,jB9Aq4,25-34 years old,Male, At a cafe
1681,qbE1M9,25-34 years old,Female, At home
1682,qbE1M9,25-34 years old,Female, At the office
1683,5dqPON,18-24 years old,Male, At home
1684,rlrMW2,25-34 years old,Male, At home
1685,dY2ezr,25-34 years old,Male, At home
1686,dY2ezr,25-34 years old,Male, On the go
1687,oAVLgb,55-64 years old,Male, At home
1688,GrBAaZ,25-34 years old,Male, At home
1689,GrBAaZ,25-34 years old,Male, At the office
1690,GrBAaZ,25-34 years old,Male, At a cafe
1691,7d9rOZ,35-44 years old,Male, At home
1692,kYRB1e,35-44 years old,Male, At home
1693,24xGzj,35-44 years old,Male, At the office
1694,XeBPQP,25-34 years old,Male, At home
1695,XeBPQP,25-34 years old,Male, At the office
1696,9dJj4E,25-34 years old,Female, At home
1697,9dJj4E,25-34 years old,Female, At the office
1698,9dJj4E,25-34 years old,Female, On the go
1699,9dJj4E,25-34 years old,Female, At a cafe
1700,MAdpqA,45-54 years old,Female, At home
1701,AlbeOz,18-24 years old,Male, At home
1702,AlbeOz,18-24 years old,Male, At a cafe
1703,NAB1Qj,25-34 years old,Male, At home
1704,NAB1Qj,25-34 years old,Male, At the office
1705,GrBA5O,18-24 years old,Male, At home
1706,GrBA5O,18-24 years old,Male, At the office
1707,24xGYj,25-34 years old,Male, At home
1708,24xGYj,25-34 years old,Male, On the go
1709,kYRBXR,25-34 years old,Male, At home
1710,WApV6N,25-34 years old,Male, At home
1711,WApV6N,25-34 years old,Male, At the office
1712,WApV6N,25-34 years old,Male, On the go
1713,WApV6N,25-34 years old,Male, At a cafe
1714,dY2eXo,55-64 years old,Male, At home
1715,QABlp7,25-34 years old,Male, At home
1716,ylq5GX,35-44 years old,Male, At home
1717,EPb7Al,35-44 years old,Female, At home
1718,EPb7Al,35-44 years old,Female, At a cafe
1719,42NVEA,35-44 years old,Male, At home
1720,aBrqgb,35-44 years old,Male, At home
1721,42NVYX,55-64 years old,Male, At home
1722,42NVYX,55-64 years old,Male, At the office
1723,oAVL1x,25-34 years old,Male, At home
1724,oAVL1x,25-34 years old,Male, At the office
1725,oAVL1x,25-34 years old,Male, At a cafe
1726,KMBKZV,18-24 years old,Male, At home
1727,1r2oyl,25-34 years old,Male, At home
1728,1r2oyl,25-34 years old,Male, At the office
1729,42NVEr,35-44 years old,Male, At home
1730,42NVEr,35-44 years old,Male, At the office
1731,g5N614,25-34 years old,Female, At home
1732,g5N614,25-34 years old,Female, At the office
1733,0EjRyj,35-44 years old,Male, At home
1734,0EjRyj,35-44 years old,Male, At the office
1735,0EjRyj,35-44 years old,Male, On the go
1736,0EjRyj,35-44 years old,Male, At a cafe
1737,6dQEzJ,25-34 years old,Male, At home
1738,6dQEzJ,25-34 years old,Male, At the office
1739,jB9Ara,25-34 years old,Male, At a cafe
1740,dY2e4K,25-34 years old,Non-binary, At a cafe
1741,zKQ5vM,18-24 years old,Male, At home
1742,YZzlgW,25-34 years old,Male, At home
1743,pLPpZ1,18-24 years old,Male, At home
1744,pLPpZ1,18-24 years old,Male, At a cafe
1745,J2kvro,25-34 years old,Male, At home
1746,xdN5B5,>65 years old,Female, At home
1747,rlrMp2,25-34 years old,Male, At home
1748,QABlWG,25-34 years old,Male, At home
1749,QABlWG,25-34 years old,Male, At the office
1750,vNx5d4,25-34 years old,Male, At home
1751,vNx5d4,25-34 years old,Male, At a cafe
1752,jB9AzQ,25-34 years old,Non-binary, At home
1753,jB9AzQ,25-34 years old,Non-binary, At the office
1754,jB9AzQ,25-34 years old,Non-binary, On the go
1755,MAdp2M,25-34 years old,Female, At home
1756,MAdp2M,25-34 years old,Female, On the go
1757,7d9rYZ,25-34 years old,Male, At home
1758,g5N6XO,25-34 years old,Male, At home
1759,g5N6XO,25-34 years old,Male, On the go
1760,PABJr1,25-34 years old,Male, At home
1761,PABJr1,25-34 years old,Male, At the office
1762,RzByg4,25-34 years old,Male, At home
1763,MAdpGl,25-34 years old,Female, At home
1764,MAdpGl,25-34 years old,Female, At the office
1765,g5N6rD,25-34 years old,Female, At home
1766,RzByaj,25-34 years old,Male, At home
1767,RzByaj,25-34 years old,Male, At the office
1768,PABJLV,25-34 years old,Male, At home
1769,GrBA4k,25-34 years old,Male, At home
1770,GrBA4k,25-34 years old,Male, On the go
1771,GrBA4k,25-34 years old,Male, At a cafe
1772,zKQ5o0,25-34 years old,Male, At home
1773,zKQ5o0,25-34 years old,Male, At the office
1774,zKQ5o0,25-34 years old,Male, At a cafe
1775,GrBAOp,25-34 years old,Male, At home
1776,GrBAOp,25-34 years old,Male, At the office
1777,GrBAOp,25-34 years old,Male, At a cafe
1778,qbE1QY,25-34 years old,Male, At home
1779,9dJj0p,25-34 years old,Male, At the office
1780,EPb77N,25-34 years old,Female, At home
1781,EPb77N,25-34 years old,Female, At the office
1782,Albeek,25-34 years old,Non-binary, At home
1783,Albeek,25-34 years old,Non-binary, At the office
1784,WApV7a,35-44 years old,Male, At home
1785,WApV7a,35-44 years old,Male, On the go
1786,GrBAAo,35-44 years old,Male, At home
1787,GrBAAo,35-44 years old,Male, At the office
1788,rlrMMl,25-34 years old,Male, At the office
1789,rlrMMl,25-34 years old,Male, On the go
1790,VZ1Oag,25-34 years old,Male, At home
1791,VZ1Oag,25-34 years old,Male, At the office
1792,5dqPa6,35-44 years old,Male, At home
1793,5dqPa6,35-44 years old,Male, At the office
1794,5dqPa6,35-44 years old,Male, On the go
1795,J2kvj4,25-34 years old,Male, At home
1796,J2kvj4,25-34 years old,Male, At a cafe
1797,XeBPAj,18-24 years old,Female, At home
1798,XeBPAj,18-24 years old,Female, On the go
1799,24xGdL,35-44 years old,Male, At home
1800,24xGdL,35-44 years old,Male, At the office
1801,qbE117,25-34 years old,Male, At home
1802,42NVVk,35-44 years old,Male, At home
1803,42NVVk,35-44 years old,Male, At the office
1804,5dqPYo,35-44 years old,Female, At home
1805,5dqPYo,35-44 years old,Female, At the office
1806,J2kv4d,35-44 years old,Non-binary, At home
1807,EPb7VX,18-24 years old,Male, At home
1808,LdMLxj,35-44 years old,Male, At home
1809,LdMLxj,35-44 years old,Male, On the go
1810,1r2o0Q,25-34 years old,Male, At home
1811,bl4QJo,25-34 years old,Male, At home
1812,42NV6b,25-34 years old,Female, At home
1813,42NV6b,25-34 years old,Female, At the office
1814,aBrqJv,25-34 years old,Male, At home
1815,OABMM7,35-44 years old,Male, At home
1816,42NVMb,35-44 years old,Male, At home
1817,WApVaj,35-44 years old,Male, At home
1818,RzByQ9,25-34 years old,Female, At home
1819,RzByQ9,25-34 years old,Female, At the office
1820,RzByQ9,25-34 years old,Female, On the go
1821,OABMM8,35-44 years old,Non-binary, At home
1822,OABMM8,35-44 years old,Non-binary, At a cafe
1823,42NVlk,18-24 years old,Male, At home
1824,XeBP6j,25-34 years old,Male, At home
1825,XeBP6j,25-34 years old,Male, At the office
1826,eBxWWO,25-34 years old,Male, At home
1827,PABJqb,25-34 years old,Male, At home
1828,PABJqb,25-34 years old,Male, At the office
1829,PABJqb,25-34 years old,Male, On the go
1830,6dQEBB,25-34 years old,Male, At home
1831,6dQEBB,25-34 years old,Male, At the office
1832,GrBAEp,25-34 years old,Male, At home
1833,GrBAEp,25-34 years old,Male, At the office
1834,xdN5qo,35-44 years old,Male, At home
1835,xdN5qo,35-44 years old,Male, At the office
1836,g5N6VO,25-34 years old,Male, At the office
1837,eBxWXO,35-44 years old,Male, At the office
1838,KMBKj7,35-44 years old,Male, At home
1839,5dqP06,25-34 years old,Female, At home
1840,5dqP06,25-34 years old,Female, At the office
1841,5dqP06,25-34 years old,Female, On the go
1842,5dqP06,25-34 years old,Female, At a cafe
1843,zKQ58a,25-34 years old,Male, At home
1844,EPb7RN,35-44 years old,Male, At home
1845,DVv685,25-34 years old,Non-binary, At home
1846,RzByed,25-34 years old,Male, At home
1847,RzByed,25-34 years old,Male, At the office
1848,oAVLjV,25-34 years old,Non-binary, At home
1849,dY2ery,25-34 years old,Male, At home
1850,pLPp2b,55-64 years old,Female, At home
1851,QABlN8,35-44 years old,Male, At home
1852,GrBAZj,25-34 years old,Male, At home
1853,YZzl75,45-54 years old,Female, At home
1854,ylq58B,25-34 years old,Male, At the office
1855,ylq5AB,25-34 years old,Male, At the office
1856,AlbeR0,25-34 years old,Male, At home
1857,AlbeR0,25-34 years old,Male, At a cafe
1858,dY2eoo,45-54 years old,Male, At home
1859,dY2eoo,45-54 years old,Male, At the office
1860,YZzlAd,25-34 years old,Male, At home
1861,YZzlAd,25-34 years old,Male, At a cafe
1862,NAB1NB,25-34 years old,Male, At home
1863,aBrqR9,25-34 years old,Male, At the office
1864,LdMLr1,25-34 years old,Non-binary, At home
1865,LdMLr1,25-34 years old,Non-binary, At the office
1866,LdMLr1,25-34 years old,Non-binary, On the go
1867,LdMLr1,25-34 years old,Non-binary, At a cafe
1868,zKQ5k1,25-34 years old,Male, At home
1869,zKQ5k1,25-34 years old,Male, At the office
1870,42NVbO,25-34 years old,Female, At home
1871,oAVLJ1,25-34 years old,Female, At home
1872,oAVLJ1,25-34 years old,Female, At a cafe
1873,jB9AN6,18-24 years old,Male, At home
1874,jB9AN6,18-24 years old,Male, At the office
1875,qbE1l7,25-34 years old,Female, At home
1876,qbE1l7,25-34 years old,Female, At a cafe
1877,42NV0X,>65 years old,Male, At home
1878,7d9rrA,25-34 years old,Female, At home
1879,7d9rrA,25-34 years old,Female, At the office
1880,5dqPNM,45-54 years old,Male, At home
1881,5dqPNM,45-54 years old,Male, At a cafe
1882,ZdRrbz,25-34 years old,Male, At home
1883,ZdRrbz,25-34 years old,Male, At the office
1884,vNx5RA,35-44 years old,Male, At home
1885,vNx5RA,35-44 years old,Male, At the office
1886,vNx5RA,35-44 years old,Male, On the go
1887,vNx5RA,35-44 years old,Male, At a cafe
1888,0EjRqN,18-24 years old,Female, At home
1889,0EjRqN,18-24 years old,Female, At a cafe
1890,vNx59Q,25-34 years old,Male, At home
1891,vNx59Q,25-34 years old,Male, On the go
1892,EPb72o,18-24 years old,Non-binary, On the go
1893,EPb72o,18-24 years old,Non-binary, At a cafe
1894,dY2eJq,25-34 years old,Male, At home
1895,dY2eJq,25-34 years old,Male, At a cafe
1896,PABJxb,25-34 years old,Non-binary, At home
1897,PABJxb,25-34 years old,Non-binary, On the go
1898,PABJxb,25-34 years old,Non-binary, At a cafe
1899,6dQEEB,25-34 years old,Male, At home
1900,6dQEEB,25-34 years old,Male, At a cafe
1901,6dQE6P,18-24 years old,Male, At home
1902,6dQE6P,18-24 years old,Male, At the office
1903,6dQE6P,18-24 years old,Male, On the go
1904,pLPpYq,25-34 years old,Male, At home
1905,RzByyJ,>65 years old,Female, At home
1906,XeBP7g,55-64 years old,Male, At home
1907,XeBP7g,55-64 years old,Male, At the office
1908,rlrM8l,25-34 years old,Female, At home
1909,rlrM8l,25-34 years old,Female, On the go
1910,RzByqd,25-34 years old,Male, At home
1911,9dJjKY,25-34 years old,Male, At home
1912,9dJjKY,25-34 years old,Male, At the office
1913,RzByNl,25-34 years old,Female, None of these
1914,VZ1O7J,45-54 years old,Female, At home
1915,vNx5kd,18-24 years old,Female, At home
1916,8dp4DO,45-54 years old,Male, At home
1917,7d9rkA,25-34 years old,Female, At home
1918,7d9rkA,25-34 years old,Female, On the go
1919,GrBAAp,25-34 years old,Male, At home
1920,rlrMQN,25-34 years old,Male, At home
1921,GrBAW2,18-24 years old,Female, At home
1922,GrBAW2,18-24 years old,Female, At the office
1923,6dQEqe,25-34 years old,Male, At home
1924,6dQEqe,25-34 years old,Male, At the office
1925,6dQEqe,25-34 years old,Male, At a cafe
1926,RzBypp,25-34 years old,Male, At home
1927,RzBypp,25-34 years old,Male, At a cafe
1928,zKQ5AR,35-44 years old,Male, At the office
1929,eBxWg0,25-34 years old,Male, At home
1930,jB9AAx,25-34 years old,Male, At a cafe
1931,oAVLLV,25-34 years old,Male, None of these
1932,YZzl6d,35-44 years old,Male, At home
1933,YZzl6d,35-44 years old,Male, At the office
1934,YZzl6d,35-44 years old,Male, On the go
1935,YZzl6d,35-44 years old,Male, At a cafe
1936,g5N6EN,25-34 years old,Male, None of these
1937,xdN5AG,25-34 years old,Male, At the office
1938,xdN5AG,25-34 years old,Male, On the go
1939,xdN5AG,25-34 years old,Male, At a cafe
1940,ZdRrBy,25-34 years old,Male, At home
1941,YZzl2q,25-34 years old,Male, At home
1942,YZzl2q,25-34 years old,Male, At the office
1943,YZzl2q,25-34 years old,Male, On the go
1944,YZzl2q,25-34 years old,Male, At a cafe
1945,rlrM75,25-34 years old,Male, At home
1946,rlrM75,25-34 years old,Male, At a cafe
1947,zKQ5Ba,35-44 years old,Female, At home
1948,zKQ5Ba,35-44 years old,Female, On the go
1949,0EjRX0,25-34 years old,Female, At home
1950,0EjRX0,25-34 years old,Female, At a cafe
1951,VZ1OgE,25-34 years old,Male, At home
1952,VZ1OgE,25-34 years old,Male, At the office
1953,VZ1OgE,25-34 years old,Male, On the go
1954,VZ1OgE,25-34 years old,Male, At a cafe
1955,9dJjjY,25-34 years old,Male, At home
1956,9dJjjY,25-34 years old,Male, On the go
1957,9dJjjY,25-34 years old,Male, At a cafe
1958,J2kvE4,25-34 years old,Male, At home
1959,J2kvE4,25-34 years old,Male, At the office
1960,rlrM4M,35-44 years old,Male, At home
1961,rlrM4M,35-44 years old,Male, At the office
1962,8dp4Bx,25-34 years old,Female, At home
1963,8dp4Bx,25-34 years old,Female, At the office
1964,jB9A4a,18-24 years old,Male, At home
1965,42NVVO,45-54 years old,Male, At home
1966,bl4QRg,25-34 years old,Male, At home
1967,bl4QRg,25-34 years old,Male, At the office
1968,bl4QRg,25-34 years old,Male, On the go
1969,bl4QRg,25-34 years old,Male, At a cafe
1970,pLPpqq,35-44 years old,Male, At home
1971,42NV6O,45-54 years old,Male, At home
1972,GrBAM2,45-54 years old,Male, At home
1973,GrBAM2,45-54 years old,Male, At the office
1974,LdML4j,25-34 years old,Male, At a cafe
1975,42NVeB,35-44 years old,Male, At home
1976,QABllp,35-44 years old,Male, At home
1977,QABllp,35-44 years old,Male, At the office
1978,QABllp,35-44 years old,Male, On the go
1979,QABllp,35-44 years old,Male, At a cafe
1980,RzByNJ,25-34 years old,Male, At home
1981,oAVLP1,35-44 years old,Male, At home
1982,kYRBj1,35-44 years old,Male, At home
1983,EPb79q,35-44 years old,Male, At home
1984,EPb79q,35-44 years old,Male, At the office
1985,aBrqMq,18-24 years old,Male, At home
1986,aBrqMq,18-24 years old,Male, At a cafe
1987,GrBAVZ,25-34 years old,Male, At home
1988,5dqP7d,25-34 years old,Male, At home
1989,kYRBL6,18-24 years old,Male, At home
1990,kYRBL6,18-24 years old,Male, At the office
1991,kYRBL6,18-24 years old,Male, On the go
1992,kYRBL6,18-24 years old,Male, At a cafe
1993,DVv6oR,18-24 years old,Prefer not to say, At home
1994,DVv6oR,18-24 years old,Prefer not to say, At a cafe
1995,GrBAGj,18-24 years old,Male, At home
1996,GrBAGj,18-24 years old,Male, At the office
1997,24xG9L,25-34 years old,Male, At home
1998,lNlkGW,35-44 years old,Male, At home
1999,lNlkGW,35-44 years old,Male, At the office
2000,vNx58v,25-34 years old,Female, At home
2001,vNx58v,25-34 years old,Female, On the go
2002,vNx58v,25-34 years old,Female, At a cafe
2003,g5N6BN,18-24 years old,Male, At a cafe
2004,OABMRK,25-34 years old,Female, At home
2005,OABMRK,25-34 years old,Female, At the office
2006,OABMRK,25-34 years old,Female, On the go
2007,eBxWVq,45-54 years old,Male, At home
2008,g5N621,25-34 years old,Male, At home
2009,g5N621,25-34 years old,Male, At the office
2010,5dqPJM,35-44 years old,Non-binary, At home
2011,7d9ryL,25-34 years old,Male, At home
2012,7d9ryL,25-34 years old,Male, At the office
2013,aBrq7E,45-54 years old,Male, At home
2014,XeBPa4,55-64 years old,Female, At home
2015,kYRBqJ,25-34 years old,Male, At home
2016,24xGGL,18-24 years old,Male, At home
2017,24xGGL,18-24 years old,Male, At a cafe
2018,aBrqqq,25-34 years old,Male, At home
2019,VZ1O6v,25-34 years old,Male, At home
2020,VZ1O6v,25-34 years old,Male, On the go
2021,jB9AjR,18-24 years old,Female, At home
2022,jB9AjR,18-24 years old,Female, On the go
2023,AlbeM0,35-44 years old,Male, At home
2024,AlbeM0,35-44 years old,Male, At the office
2025,AlbeM0,35-44 years old,Male, On the go
2026,AlbeM0,35-44 years old,Male, At a cafe
2027,NAB1ZQ,35-44 years old,Female, At home
2028,NAB1ZQ,35-44 years old,Female, At the office
2029,xdN5GG,25-34 years old,Male, At home
2030,xdN5GG,25-34 years old,Male, At the office
2031,oAVLJX,18-24 years old,Female, None of these
2032,lNlkx5,55-64 years old,Male, At home
2033,ZdRrqa,25-34 years old,Female, At home
2034,OABM28,45-54 years old,Male, At home
2035,OABM28,45-54 years old,Male, At the office
2036,OABM28,45-54 years old,Male, On the go
2037,xdN5by,25-34 years old,Female, At home
2038,xdN5by,25-34 years old,Female, At the office
2039,ylq5Lp,25-34 years old,Non-binary, At home
2040,0EjR96,25-34 years old,Male, At home
2041,dY2eMA,25-34 years old,Female, At home
2042,jB9A4x,25-34 years old,Male, At home
2043,42NV5B,55-64 years old,Female, At home
2044,oAVLZP,25-34 years old,Female, At home
2045,EPb77X,45-54 years old,Male, At home
2046,EPb77X,45-54 years old,Male, At the office
2047,pLPpQV,18-24 years old,Male, At home
2048,pLPpQV,18-24 years old,Male, At a cafe
2049,OABMq7,25-34 years old,Male, At home
2050,OABMq7,25-34 years old,Male, At the office
2051,OABMq7,25-34 years old,Male, On the go
2052,OABMq7,25-34 years old,Male, At a cafe
2053,PABJJ5,45-54 years old,Male, At home
2054,1r2oQQ,25-34 years old,Male, At home
2055,6dQEoO,35-44 years old,Male, At home
2056,6dQEoO,35-44 years old,Male, At the office
2057,24xG6V,18-24 years old,Male, At home
2058,24xG6V,18-24 years old,Male, On the go
2059,lNlkkB,35-44 years old,Male, At home
2060,oAVL8e,45-54 years old,Female, At home
2061,oAVL8e,45-54 years old,Female, At a cafe
2062,rlrMz5,25-34 years old,Male, At home
2063,rlrMz5,25-34 years old,Male, At the office
2064,42NV0k,18-24 years old,Male, At home
2065,42NV0k,18-24 years old,Male, At a cafe
2066,MAdpZp,55-64 years old,Female, At home
2067,MAdpZp,55-64 years old,Female, On the go
2068,MAdpZp,55-64 years old,Female, At a cafe
2069,eBxW4E,35-44 years old,Female, At home
2070,rlrM4v,35-44 years old,Male, At home
2071,OABMx7,25-34 years old,Female, At home
2072,OABMx7,25-34 years old,Female, At the office
2073,OABMZR,55-64 years old,Female, At home
2074,OABMZR,55-64 years old,Female, At the office
2075,GrBAPo,25-34 years old,Male, At home
2076,PABJxQ,35-44 years old,Female, At home
2077,jB9AKR,55-64 years old,Male, At home
2078,QABl98,>65 years old,Female, At home
2079,lNlk8B,55-64 years old,Female, At home
