,medalist_name,medal,country_medal,date_of_birth,place_of_birth,lat,lon,sex_or_gender,event_name,event_part_of_sport
384,Rhyne Howard,bronze,United States of America,2000-04-29,Chattanooga,35.04555556,-85.26722222,female,basketball women's 3x3 tournament,basketball
385,Hasanboy Dusmatov,gold,Uzbekistan,1993-06-24,Andijan,40.78194444,72.34416667,male,Boxing Men's 51 kg,boxing
386,Billal Bennama,silver,France,1998-06-14,Albi,43.92805556,2.145833333,male,Boxing Men's 51 kg,boxing
387,Junior Alcántara,bronze,Dominican Republic,2004-10-02,Higüey,18.61805556,-68.71111111,male,Boxing Men's 51 kg,boxing
388,Daniel Varela de Pina,bronze,Cape Verde,1996-08-07,Santa Cruz,15.13333333,-23.56666667,male,Boxing Men's 51 kg,boxing
389,Abdumalik Khalokov,gold,Uzbekistan,2000-04-09,Bukhara,39.77472222,64.42861111,male,Boxing Men's featherweight,boxing
390,Munarbek Seiitbek Uulu,silver,Kyrgyzstan,1996-01-01,Osh,40.53333333,72.78333333,male,Boxing Men's featherweight,boxing
391,Charlie Senior,bronze,Australia,2001-11-20,Bradford,53.794,-1.751,male,Boxing Men's featherweight,boxing
392,Javier Ibáñez,bronze,Bulgaria,,Matanzas,23.049444,-81.573611,male,Boxing Men's featherweight,boxing
393,Erislandy Álvarez,gold,Cuba,2000-07-14,Unknown,,,male,Boxing Men's 63.5 kg,boxing
394,Sofiane Oumiha,silver,France,1994-12-23,Toulouse,43.60444444,1.443888889,male,Boxing Men's 63.5 kg,boxing
395,Wyatt Sanford,bronze,Canada,1998-11-03,Kennetcook,45.178,-63.722,male,Boxing Men's 63.5 kg,boxing
396,Lasha Guruli,bronze,Georgia,1996-08-27,Rustavi,41.54361111,45.01166667,male,Boxing Men's 63.5 kg,boxing
397,Asadkhuja Muydinkhujaev,gold,Uzbekistan,2001-05-08,Fergana,40.38638889,71.78638889,male,Boxing Men's 71 kg,boxing
398,Marco Verde,silver,Mexico,2002-02-11,Mazatlán,23.24138889,-106.4097222,male,Boxing Men's 71 kg,boxing
399,Omari Jones,bronze,United States of America,2002-11-07,Orlando,28.53361111,-81.38666667,male,Boxing Men's 71 kg,boxing
400,Lewis Richardson,bronze,United Kingdom,1997-06-04,Colchester,51.888611,0.903611,male,Boxing Men's 71 kg,boxing
401,Oleksandr Khyzhniak,gold,Ukraine,1995-08-03,Poltava,49.58944444,34.55138889,male,Boxing Men's 80 kg,boxing
402,Nurbek Oralbay,silver,Kazakhstan,2000-06-11,Astana,51.13333333,71.43333333,male,Boxing Men's 80 kg,boxing
403,Arlen López,bronze,Cuba,1993-02-21,Guantánamo,20.138333,-75.206111,male,Boxing Men's 80 kg,boxing
404,Lazizbek Mullojonov,gold,Uzbekistan,1999-05-13,Fergana District,40.1706022,71.7286833,male,Boxing Men's 92 kg,boxing
405,Loren Alfonso,silver,Azerbaijan,1995-05-28,Cuba,22.0,-79.5,male,Boxing Men's 92 kg,boxing
406,Enmanuel Reyes Pla,bronze,Spain,1992-12-14,Havana,23.13666667,-82.35888889,male,Boxing Men's 92 kg,boxing
407,Davlat Boltaev,bronze,Tajikistan,1999-01-13,Unknown,,,male,Boxing Men's 92 kg,boxing
408,Bakhodir Jalolov,gold,Uzbekistan,1994-07-08,Sariosiyo District,38.41666667,67.95,male,Boxing Men's +92 kg,boxing
409,Ayoub Ghadfa,silver,Spain,1998-12-06,Marbella,36.51136389,-4.883441667,male,Boxing Men's +92 kg,boxing
410,Nelvie Tiafack,bronze,Germany,1999-01-01,Buea,4.166666667,9.233333333,male,Boxing Men's +92 kg,boxing
411,Djamili Aboudou,bronze,France,1996-02-16,Grande-Synthe,51.01305556,2.302222222,male,Boxing Men's +92 kg,boxing
412,Wu Yu,gold,People's Republic of China,1995-01-13,Unknown,,,female,Boxing Women's 50 kg,boxing
413,Buse Naz Çakıroğlu,silver,Turkey,1996-05-26,Trabzon,41.005,39.7225,female,Boxing Women's 50 kg,boxing
414,Nazym Kyzaibay,bronze,Kazakhstan,1993-09-14,Zhetigen,43.67891667,77.11669444,female,Boxing Women's 50 kg,boxing
415,Aira Villegas,bronze,Philippines,,Tacloban,11.24444444,125.0038889,female,Boxing Women's 50 kg,boxing
416,Chang Yuan,gold,People's Republic of China,1997-06-24,Shijiazhuang,38.0425,114.51,female,Boxing Women's 54 kg,boxing
417,Hatice Akbaş,silver,Turkey,2002-01-01,Ankara,39.93576,32.83869,female,Boxing Women's 54 kg,boxing
418,Pang Chol-mi,bronze,North Korea,1994-08-26,Chongju,39.69277,125.21015,female,Boxing Women's 54 kg,boxing
419,Im Ae-ji,bronze,South Korea,1999-05-11,Hwasun County,35.05944444,126.985,female,Boxing Women's 54 kg,boxing
420,Lin Yu-ting,gold,Chinese Taipei,1995-12-14,Yingge District,24.956,121.355,female,Boxing Women's 57 kg,boxing
421,Julia Szeremeta,silver,Poland,2003-08-24,Chełm,51.13333333,23.48333333,female,Boxing Women's 57 kg,boxing
422,Esra Yıldız,bronze,Turkey,1997-07-04,Nevşehir,38.625,34.71222222,female,Boxing Women's 57 kg,boxing
423,Nesthy Petecio,bronze,Philippines,1992-04-11,Santa Cruz,6.833333333,125.4166667,female,Boxing Women's 57 kg,boxing
424,Kellie Harrington,gold,Republic of Ireland,1989-12-11,Dublin,53.34972222,-6.260277778,female,Boxing Women's 60 kg,boxing
425,Yang Wenlu,silver,People's Republic of China,1991-01-13,Unknown,,,female,Boxing Women's 60 kg,boxing
426,Wu Shih-yi,bronze,Chinese Taipei,1998-04-27,Taipei,25.0375,121.5625,female,Boxing Women's 60 kg,boxing
427,Beatriz Ferreira,bronze,Brazil,1992-12-09,Salvador,-12.98305556,-38.49277778,female,Boxing Women's 60 kg,boxing
428,Imane Khelif,gold,Algeria,1999-05-02,Aïn Sidi Ali,34.15694444,1.54166667,female,Boxing Women's 66 kg,boxing
429,Yang Liu,silver,People's Republic of China,1992-05-20,Chifeng,42.255,118.8825,female,Boxing Women's 66 kg,boxing
430,Janjaem Suwannapheng,bronze,Thailand,2000-09-25,Nong Khai,17.86805556,102.7444444,female,Boxing Women's 66 kg,boxing
431,Chen Nien-chin,bronze,Chinese Taipei,1997-05-10,Hualien County,23.97611111,121.6047222,female,Boxing Women's 66 kg,boxing
432,Li Qian,gold,People's Republic of China,1990-06-06,Henan,33.9,113.5,female,Boxing Women's 75 kg,boxing
433,Atheyna Bylon,silver,Panama,1989-04-06,Panama City,9.0,-79.5,female,Boxing Women's 75 kg,boxing
434,Caitlin Parker,bronze,Australia,1996-04-17,Subiaco,-31.95,115.825,female,Boxing Women's 75 kg,boxing
435,Cindy Ngamba,bronze,Unknown,1998-09-07,Douala,4.05,9.7,female,Boxing Women's 75 kg,boxing
436,Philip Kim,gold,Canada,,Unknown,,,male,Breaking B-Boys,breakdance
437,Danis Civil,silver,France,1988-05-03,Saint-Laurent-du-Maroni,5.503888889,-54.02888889,male,Breaking B-Boys,breakdance
438,Victor Montalvo,bronze,United States of America,1994-05-01,Kissimmee,28.30388889,-81.41277778,male,Breaking B-Boys,breakdance
439,Ami Yuasa,gold,Japan,1998-12-11,Saitama Prefecture,35.85716667,139.6491944,female,Breaking B-Girls,breakdance
440,Dominika Banevič,silver,Lithuania,2007-06-08,Vilnius,54.68722222,25.28,female,Breaking B-Girls,breakdance
441,Liu Qingyi,bronze,People's Republic of China,2005-10-19,Henan,33.9,113.5,female,Breaking B-Girls,breakdance
442,Nicolas Gestin,gold,France,2000-03-14,Tréméven,47.89833333,-3.5325,male,Canoeing Men's slalom C-1,canoeing and kayaking
443,Adam Burgess,silver,United Kingdom,1992-07-17,Stoke-on-Trent,53.0,-2.183333333,male,Canoeing Men's slalom C-1,canoeing and kayaking
444,Matej Beňuš,bronze,Slovakia,1987-11-02,Bratislava,48.14472222,17.11277778,male,Canoeing Men's slalom C-1,canoeing and kayaking
445,Giovanni De Gennaro,gold,Italy,1992-07-21,Brescia,45.53888889,10.22028056,male,Canoeing Men's slalom K-1,canoeing and kayaking
446,Titouan Castryck,silver,France,2004-08-28,Saint-Malo,48.64722222,-2.008888889,male,Canoeing Men's slalom K-1,canoeing and kayaking
447,Pau Echaniz Pal,bronze,Spain,2001-05-29,San Sebastián,43.32,-1.98,male,Canoeing Men's slalom K-1,canoeing and kayaking
448,Finn Butcher,gold,New Zealand,1995-01-01,Dunedin,-45.87416667,170.5036111,male,canoeing Men's slalom kayak cross,canoeing and kayaking
449,Joseph Clarke,silver,United Kingdom,1992-11-03,Stoke-on-Trent,53.0,-2.183333333,male,canoeing Men's slalom kayak cross,canoeing and kayaking
450,Noah Hegge,bronze,Germany,1999-03-15,Mammendorf,48.2,11.15,male,canoeing Men's slalom kayak cross,canoeing and kayaking
451,Jessica Fox,gold,Australia,1994-06-11,Marseille,43.29666667,5.376388889,female,canoeing women's slalom C-1,canoeing and kayaking
452,Elena Lilik,silver,Germany,1998-09-14,Weimar,50.98111111,11.32944444,female,canoeing women's slalom C-1,canoeing and kayaking
453,Evy Leibfarth,bronze,United States of America,2004-01-26,Sylva,35.3742,-83.2178,female,canoeing women's slalom C-1,canoeing and kayaking
454,Jessica Fox,gold,Australia,1994-06-11,Marseille,43.29666667,5.376388889,female,Canoeing Women's slalom K-1,canoeing and kayaking
455,Klaudia Zwolińska,silver,Poland,1998-12-18,Nowy Sącz,49.62388889,20.69722222,female,Canoeing Women's slalom K-1,canoeing and kayaking
456,Kimberley Woods,bronze,United Kingdom,1995-09-08,Rugby,52.37,-1.26,female,Canoeing Women's slalom K-1,canoeing and kayaking
457,Noemie Fox,gold,Australia,1997-03-19,Marseille,43.29666667,5.376388889,female,canoeing Women's slalom kayak cross,canoeing and kayaking
458,Angèle Hug,silver,France,2000-07-30,Les Ollières-sur-Eyrieux,44.80416667,4.613888889,female,canoeing Women's slalom kayak cross,canoeing and kayaking
459,Kimberley Woods,bronze,United Kingdom,1995-09-08,Rugby,52.37,-1.26,female,canoeing Women's slalom kayak cross,canoeing and kayaking
460,Martin Fuksa,gold,Czech Republic,1993-04-30,Nymburk,50.18611549,15.04174726,male,canoeing men's C-1 1000 metres,canoeing and kayaking
461,Isaquias Queiroz,silver,Brazil,1994-01-03,Ubaitaba,-14.31277778,-39.32277778,male,canoeing men's C-1 1000 metres,canoeing and kayaking
462,Serghei Tarnovschi,bronze,Moldova,1997-06-24,Lviv,49.8425,24.03222222,male,canoeing men's C-1 1000 metres,canoeing and kayaking
463,Liu Hao,gold,People's Republic of China,,Yunnan,25.04944444,102.7088889,male,Canoeing Men's C-2 500 metres,canoeing and kayaking
464,Carlo Tacchini,silver,Italy,1995-01-25,Verbania,45.92277778,8.551944444,male,Canoeing Men's C-2 500 metres,canoeing and kayaking
465,Josef Dostál,gold,Czech Republic,1993-03-03,Prague,50.0875,14.42138889,male,Canoeing Men's K-1 1000 metres,canoeing and kayaking
466,Ádám Varga,silver,Hungary,1999-11-20,Budapest,47.49833333,19.04083333,male,Canoeing Men's K-1 1000 metres,canoeing and kayaking
467,Bálint Kopasz,bronze,Hungary,1997-06-20,Szeged,46.25,20.16666667,male,Canoeing Men's K-1 1000 metres,canoeing and kayaking
468,Jacob Schopf,gold,Germany,1999-06-08,Berlin,52.51666667,13.38333333,male,canoeing men's K-2 500 metres,canoeing and kayaking
469,Max Lemke,gold,Germany,1996-12-02,Heppenheim,49.64152778,8.645,male,canoeing men's K-2 500 metres,canoeing and kayaking
470,Bence Nádas,silver,Hungary,1996-04-17,Budapest,47.49833333,19.04083333,male,canoeing men's K-2 500 metres,canoeing and kayaking
471,Sándor Tótka,silver,Hungary,1994-07-27,Mezőtúr,47.00416667,20.61805556,male,canoeing men's K-2 500 metres,canoeing and kayaking
472,Jean van der Westhuyzen,bronze,Australia,1998-12-09,Cape Town,-33.92527778,18.42388889,male,canoeing men's K-2 500 metres,canoeing and kayaking
473,Thomas Green,bronze,Australia,1999-06-03,Queensland,-20.0,143.0,male,canoeing men's K-2 500 metres,canoeing and kayaking
474,Max Rendschmidt,gold,Germany,1993-09-12,Bonn,50.73388889,7.099722222,male,Canoeing Men's K-4 500 metres,canoeing and kayaking
475,Max Lemke,gold,Germany,1996-12-02,Heppenheim,49.64152778,8.645,male,Canoeing Men's K-4 500 metres,canoeing and kayaking
476,Jacob Schopf,gold,Germany,1999-06-08,Berlin,52.51666667,13.38333333,male,Canoeing Men's K-4 500 metres,canoeing and kayaking
477,Tom Liebscher,gold,Germany,1993-08-03,Dresden,51.05,13.74,male,Canoeing Men's K-4 500 metres,canoeing and kayaking
478,Riley Fitzsimmons,silver,Australia,1996-07-27,Gosford,-33.42333333,151.3413889,male,Canoeing Men's K-4 500 metres,canoeing and kayaking
479,Pierre van der Westhuyzen,silver,Australia,2003-01-01,Bellville,-33.9,18.63333333,male,Canoeing Men's K-4 500 metres,canoeing and kayaking
480,Jackson Collins,silver,Australia,1998-11-05,Unknown,,,male,Canoeing Men's K-4 500 metres,canoeing and kayaking
481,Noah Havard,silver,Australia,2000-10-11,Unknown,,,male,Canoeing Men's K-4 500 metres,canoeing and kayaking
482,Saúl Craviotto,bronze,Spain,1984-11-03,Lleida,41.61666667,0.633333333,male,Canoeing Men's K-4 500 metres,canoeing and kayaking
483,Carlos Arévalo,bronze,Spain,1993-12-06,Betanzos,43.2791691,-8.2106329,male,Canoeing Men's K-4 500 metres,canoeing and kayaking
484,Marcus Walz,bronze,Spain,1994-10-03,Oxford,51.75194444,-1.257777778,male,Canoeing Men's K-4 500 metres,canoeing and kayaking
485,Rodrigo Germade,bronze,Spain,1990-08-23,Cangas,42.27790245,-8.789840959,male,Canoeing Men's K-4 500 metres,canoeing and kayaking
486,Katie Vincent,gold,Canada,1996-03-12,Mississauga,43.6,-79.65,female,canoeing women's C-1 200 metres,canoeing and kayaking
487,Nevin Harrison,silver,United States of America,2002-06-02,Seattle,47.60621,-122.33207,female,canoeing women's C-1 200 metres,canoeing and kayaking
488,Yarisleidis Cirilo Duboys,bronze,Cuba,2002-05-10,Guantánamo,20.138333,-75.206111,female,canoeing women's C-1 200 metres,canoeing and kayaking
489,Xu Shixiao,gold,People's Republic of China,1992-02-16,Yanshan County,28.3181,117.704,female,Canoeing Women's C-2 500 metres,canoeing and kayaking
490,Sun Mengya,gold,People's Republic of China,2001-05-03,Tai'erzhuang District,34.56078889,117.7382472,female,Canoeing Women's C-2 500 metres,canoeing and kayaking
491,Liudmyla Luzan,silver,Ukraine,1997-03-27,Ivano-Frankivsk,48.92277778,24.71055556,female,Canoeing Women's C-2 500 metres,canoeing and kayaking
492,Anastasiia Chetverikova,silver,Ukraine,1998-04-14,Kherson,46.6425,32.625,female,Canoeing Women's C-2 500 metres,canoeing and kayaking
493,Sloan MacKenzie,bronze,Canada,2002-05-16,Unknown,,,female,Canoeing Women's C-2 500 metres,canoeing and kayaking
494,Katie Vincent,bronze,Canada,1996-03-12,Mississauga,43.6,-79.65,female,Canoeing Women's C-2 500 metres,canoeing and kayaking
495,Lisa Carrington,gold,New Zealand,1989-06-23,Tauranga,-37.68583333,176.1666667,female,canoeing women's K-1 500 metres,canoeing and kayaking
496,Tamara Csipes,silver,Hungary,1989-08-24,Budapest,47.49833333,19.04083333,female,canoeing women's K-1 500 metres,canoeing and kayaking
497,Emma Jørgensen,bronze,Denmark,1996-01-30,Bursø,54.7363,11.4897,female,canoeing women's K-1 500 metres,canoeing and kayaking
498,Lisa Carrington,gold,New Zealand,1989-06-23,Tauranga,-37.68583333,176.1666667,female,Canoeing Women's K-2 500 metres,canoeing and kayaking
499,Alicia Hoskin,gold,New Zealand,2000-02-06,Gisborne,-38.6625,178.0177778,female,Canoeing Women's K-2 500 metres,canoeing and kayaking
500,Tamara Csipes,silver,Hungary,1989-08-24,Budapest,47.49833333,19.04083333,female,Canoeing Women's K-2 500 metres,canoeing and kayaking
501,Alida Dóra Gazsó,silver,Hungary,2000-04-18,Budapest,47.49833333,19.04083333,female,Canoeing Women's K-2 500 metres,canoeing and kayaking
502,Paulina Paszek,bronze,Germany,1997-10-27,Bielsko-Biała,49.8225,19.04444444,female,Canoeing Women's K-2 500 metres,canoeing and kayaking
503,Jule Hake,bronze,Germany,1999-09-24,Olfen,51.70861111,7.38,female,Canoeing Women's K-2 500 metres,canoeing and kayaking
504,Lisa Carrington,gold,New Zealand,1989-06-23,Tauranga,-37.68583333,176.1666667,female,Canoeing Women's K-4 500 metres,canoeing and kayaking
505,Alicia Hoskin,gold,New Zealand,2000-02-06,Gisborne,-38.6625,178.0177778,female,Canoeing Women's K-4 500 metres,canoeing and kayaking
506,Paulina Paszek,silver,Germany,1997-10-27,Bielsko-Biała,49.8225,19.04444444,female,Canoeing Women's K-4 500 metres,canoeing and kayaking
507,Jule Hake,silver,Germany,1999-09-24,Olfen,51.70861111,7.38,female,Canoeing Women's K-4 500 metres,canoeing and kayaking
508,Sarah Brüßler,silver,Germany,,Kassel,51.31577778,9.497916667,female,Canoeing Women's K-4 500 metres,canoeing and kayaking
509,Tamara Csipes,bronze,Hungary,1989-08-24,Budapest,47.49833333,19.04083333,female,Canoeing Women's K-4 500 metres,canoeing and kayaking
510,Alida Dóra Gazsó,bronze,Hungary,2000-04-18,Budapest,47.49833333,19.04083333,female,Canoeing Women's K-4 500 metres,canoeing and kayaking
511,Remco Evenepoel,gold,Belgium,2000-01-25,Aalst,50.93833333,4.039166667,male,cycling men's individual road race,cycle sport
512,Valentin Madouas,silver,France,1996-07-12,Brest,48.39,-4.486944444,male,cycling men's individual road race,cycle sport
513,Christophe Laporte,bronze,France,1992-12-11,La Seyne-sur-Mer,43.10305556,5.878333333,male,cycling men's individual road race,cycle sport
514,Remco Evenepoel,gold,Belgium,2000-01-25,Aalst,50.93833333,4.039166667,male,cycling men's individual time trial,cycle sport
515,Filippo Ganna,silver,Italy,1996-07-25,Verbania,45.92277778,8.551944444,male,cycling men's individual time trial,cycle sport
516,Wout van Aert,bronze,Belgium,1994-09-15,Herentals,51.17666667,4.836388889,male,cycling men's individual time trial,cycle sport
517,Kristen Faulkner,gold,United States of America,1992-12-18,Homer,59.6431,-151.526,female,cycling Women's individual road race,cycle sport
518,Marianne Vos,silver,Netherlands,1987-05-13,'s-Hertogenbosch,51.7,5.316666667,female,cycling Women's individual road race,cycle sport
519,Lotte Kopecky,bronze,Belgium,1995-11-10,Rumst,51.0769,4.4233,female,cycling Women's individual road race,cycle sport
520,Grace Brown,gold,Australia,1992-07-07,Camperdown,-38.236,143.145,female,cycling women's individual time trial,cycle sport
521,Anna Henderson,silver,United Kingdom,1998-11-14,Hemel Hempstead,51.753333,-0.448611,female,cycling women's individual time trial,cycle sport
522,Chloé Dygert,bronze,United States of America,1997-01-01,Brownsburg,39.8419,-86.3956,female,cycling women's individual time trial,cycle sport
523,Harrie Lavreysen,gold,Netherlands,1997-03-14,Luyksgestel,51.29,5.3239,male,cycling men's sprint,cycle sport
524,Matthew Richardson,silver,Australia,1999-04-17,Maidstone,51.27166667,0.529444444,male,cycling men's sprint,cycle sport
525,Jack Carlin,bronze,United Kingdom,1997-04-23,Paisley,55.84555556,-4.423888889,male,cycling men's sprint,cycle sport
526,Roy van den Berg,gold,Netherlands,1988-09-08,Kampen,52.555,5.919722222,male,cycling men's team sprint,cycle sport
527,Harrie Lavreysen,gold,Netherlands,1997-03-14,Luyksgestel,51.29,5.3239,male,cycling men's team sprint,cycle sport
528,Jeffrey Hoogland,gold,Netherlands,1993-03-16,Hellendoorn,52.3885,6.4497,male,cycling men's team sprint,cycle sport
529,Ed Lowe,silver,United Kingdom,2003-08-23,Stamford,52.6556,-0.4837,male,cycling men's team sprint,cycle sport
530,Hamish Turnbull,silver,United Kingdom,1999-07-13,Morpeth,55.1675,-1.690833333,male,cycling men's team sprint,cycle sport
531,Jack Carlin,silver,United Kingdom,1997-04-23,Paisley,55.84555556,-4.423888889,male,cycling men's team sprint,cycle sport
532,Leigh Hoffman,bronze,Australia,2000-06-11,Whyalla,-33.03333333,137.0666667,male,cycling men's team sprint,cycle sport
533,Matthew Richardson,bronze,Australia,1999-04-17,Maidstone,51.27166667,0.529444444,male,cycling men's team sprint,cycle sport
534,Matthew Glaetzer,bronze,Australia,1992-08-24,Adelaide,-34.9275,138.6,male,cycling men's team sprint,cycle sport
535,Harrie Lavreysen,gold,Netherlands,1997-03-14,Luyksgestel,51.29,5.3239,male,cycling men's keirin,cycle sport
536,Matthew Richardson,silver,Australia,1999-04-17,Maidstone,51.27166667,0.529444444,male,cycling men's keirin,cycle sport
537,Matthew Glaetzer,bronze,Australia,1992-08-24,Adelaide,-34.9275,138.6,male,cycling men's keirin,cycle sport
538,Iúri Leitão,gold,Portugal,1998-07-03,Viana do Castelo,41.7,-8.833333333,male,cycling men's madison,cycle sport
539,Rui Oliveira,gold,Portugal,1996-09-05,Vila Nova de Gaia,41.13333333,-8.616666667,male,cycling men's madison,cycle sport
540,Simone Consonni,silver,Italy,1994-09-12,Ponte San Pietro,45.69777778,9.588055556,male,cycling men's madison,cycle sport
541,Elia Viviani,silver,Italy,1989-02-07,Isola della Scala,45.2692,11.0107,male,cycling men's madison,cycle sport
542,Niklas Larsen,bronze,Denmark,1997-03-22,Slagelse,55.40083333,11.35,male,cycling men's madison,cycle sport
543,Michael Mørkøv,bronze,Denmark,1985-04-30,Kokkedal,55.90833333,12.49,male,cycling men's madison,cycle sport
544,Benjamin Thomas,gold,France,1995-09-12,Lavaur,43.69888889,1.818888889,male,cycling men's omnium,cycle sport
545,Iúri Leitão,silver,Portugal,1998-07-03,Viana do Castelo,41.7,-8.833333333,male,cycling men's omnium,cycle sport
546,Fabio Van den Bossche,bronze,Belgium,2000-09-21,Ghent,51.05361111,3.725277778,male,cycling men's omnium,cycle sport
547,Oliver Bleddyn,gold,Australia,2002-01-27,Unknown,,,male,cycling men's team pursuit,cycle sport
548,Sam Welsford,gold,Australia,1996-01-19,Subiaco,-31.95,115.825,male,cycling men's team pursuit,cycle sport
549,Conor Leahy,gold,Australia,1999-04-16,Perth,-31.95583333,115.8597222,male,cycling men's team pursuit,cycle sport
550,Kelland O'Brien,gold,Australia,1998-05-22,Melbourne,-37.81416667,144.9630556,male,cycling men's team pursuit,cycle sport
551,Ethan Hayter,silver,United Kingdom,1998-09-18,London,51.50722222,-0.1275,male,cycling men's team pursuit,cycle sport
552,Daniel Bigham,silver,United Kingdom,1991-10-02,Newcastle-under-Lyme,53.0109,-2.2278,male,cycling men's team pursuit,cycle sport
553,Charlie Tanfield,silver,United Kingdom,1996-11-17,North Yorkshire,54.16666667,-1.333333333,male,cycling men's team pursuit,cycle sport
554,Ethan Vernon,silver,United Kingdom,2000-08-26,Bedford,52.13444444,-0.463055556,male,cycling men's team pursuit,cycle sport
555,Oliver Wood,silver,United Kingdom,1995-11-26,Wakefield,53.6825,-1.4975,male,cycling men's team pursuit,cycle sport
556,Simone Consonni,bronze,Italy,1994-09-12,Ponte San Pietro,45.69777778,9.588055556,male,cycling men's team pursuit,cycle sport
557,Filippo Ganna,bronze,Italy,1996-07-25,Verbania,45.92277778,8.551944444,male,cycling men's team pursuit,cycle sport
558,Francesco Lamon,bronze,Italy,1994-02-05,Mirano,45.49275,12.10988,male,cycling men's team pursuit,cycle sport
559,Jonathan Milan,bronze,Italy,2000-10-01,Tolmezzo,46.4,13.01666667,male,cycling men's team pursuit,cycle sport
560,Ellesse Andrews,gold,New Zealand,1999-12-31,Christchurch Women’s Hospital,-43.53388,172.62455,female,cycling women's sprint,cycle sport
561,Lea Friedrich,silver,Germany,2000-01-07,Dassow,53.9074,10.9807,female,cycling women's sprint,cycle sport
562,Emma Finucane,bronze,United Kingdom,2002-12-22,Carmarthen,51.85694444,-4.316388889,female,cycling women's sprint,cycle sport
563,Katy Marchant,gold,United Kingdom,1993-01-30,Leeds,53.7975,-1.543611111,female,cycling women's team sprint,cycle sport
564,Sophie Capewell,gold,United Kingdom,1998-09-04,Lichfield,52.6835,-1.82653,female,cycling women's team sprint,cycle sport
565,Emma Finucane,gold,United Kingdom,2002-12-22,Carmarthen,51.85694444,-4.316388889,female,cycling women's team sprint,cycle sport
566,Rebecca Petch,silver,New Zealand,1998-07-09,Te Awamutu,-38.00833333,175.325,female,cycling women's team sprint,cycle sport
567,Shaane Fulton,silver,New Zealand,2000-10-03,Nelson,-41.293056,173.238056,female,cycling women's team sprint,cycle sport
568,Ellesse Andrews,silver,New Zealand,1999-12-31,Christchurch Women’s Hospital,-43.53388,172.62455,female,cycling women's team sprint,cycle sport
569,Pauline Grabosch,bronze,Germany,1998-01-14,Magdeburg,52.1315889,11.6399609,female,cycling women's team sprint,cycle sport
570,Emma Hinze,bronze,Germany,1997-09-17,Hildesheim,52.15,9.95,female,cycling women's team sprint,cycle sport
571,Lea Friedrich,bronze,Germany,2000-01-07,Dassow,53.9074,10.9807,female,cycling women's team sprint,cycle sport
572,Ellesse Andrews,gold,New Zealand,1999-12-31,Christchurch Women’s Hospital,-43.53388,172.62455,female,cycling women's keirin,cycle sport
573,Hetty van de Wouw,silver,Netherlands,1998-05-29,Kaatsheuvel,51.6564,5.0303,female,cycling women's keirin,cycle sport
574,Emma Finucane,bronze,United Kingdom,2002-12-22,Carmarthen,51.85694444,-4.316388889,female,cycling women's keirin,cycle sport
575,Chiara Consonni,gold,Italy,1999-06-24,Ponte San Pietro,45.69777778,9.588055556,female,cycling women's madison,cycle sport
576,Vittoria Guazzini,gold,Italy,2000-12-26,Pontedera,43.6625,10.63277778,female,cycling women's madison,cycle sport
577,Elinor Barker,silver,United Kingdom,1994-09-07,Cardiff,51.48166667,-3.179166667,female,cycling women's madison,cycle sport
578,Neah Evans,silver,United Kingdom,1990-08-01,Langbank,55.9241,-4.58634,female,cycling women's madison,cycle sport
579,Maike van der Duin,bronze,Netherlands,2001-09-12,Assen,53.0,6.55,female,cycling women's madison,cycle sport
580,Lisa Van Belle,bronze,Netherlands,2004-01-30,Zoetermeer,52.06111111,4.493333333,female,cycling women's madison,cycle sport
581,Jennifer Valente,gold,United States of America,1994-12-24,San Diego,32.715,-117.1625,female,cycling women's omnium,cycle sport
582,Daria Pikulik,silver,Poland,1997-01-06,Skarżysko-Kamienna,51.11666667,20.88333333,female,cycling women's omnium,cycle sport
583,Ally Wollaston,bronze,New Zealand,2001-01-04,Auckland,-36.84916667,174.7652778,female,cycling women's omnium,cycle sport
584,Jennifer Valente,gold,United States of America,1994-12-24,San Diego,32.715,-117.1625,female,cycling women's team pursuit,cycle sport
585,Lily Williams,gold,United States of America,1994-06-24,Tallahassee,30.43833333,-84.28055556,female,cycling women's team pursuit,cycle sport
586,Chloé Dygert,gold,United States of America,1997-01-01,Brownsburg,39.8419,-86.3956,female,cycling women's team pursuit,cycle sport
587,Kristen Faulkner,gold,United States of America,1992-12-18,Homer,59.6431,-151.526,female,cycling women's team pursuit,cycle sport
588,Ally Wollaston,silver,New Zealand,2001-01-04,Auckland,-36.84916667,174.7652778,female,cycling women's team pursuit,cycle sport
589,Bryony Botha,silver,New Zealand,1997-11-04,Auckland,-36.84916667,174.7652778,female,cycling women's team pursuit,cycle sport
590,Emily Shearman,silver,New Zealand,1999-02-23,Palmerston North,-40.354911,175.609511,female,cycling women's team pursuit,cycle sport
591,Nicole Shields,silver,New Zealand,1999-09-09,Invercargill,-46.429,168.362,female,cycling women's team pursuit,cycle sport
592,Elinor Barker,bronze,United Kingdom,1994-09-07,Cardiff,51.48166667,-3.179166667,female,cycling women's team pursuit,cycle sport
593,Josie Knight,bronze,United Kingdom,1997-03-29,Dingle,52.139915,-10.27153,female,cycling women's team pursuit,cycle sport
594,Anna Morris,bronze,United Kingdom,1995-06-13,Cardiff,51.48166667,-3.179166667,female,cycling women's team pursuit,cycle sport
